count,-3
_,2,3,4,5,6,7,8,9,10,11
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,1,1,1,1,1,0,0,0,0,0
11,1,1,1,1,1,1,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0
count,-2
_,2,3,4,5,6,7,8,9,10,11
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,1,0,0,0,0,0
10,1,1,1,1,1,1,1,0,0,0
11,1,1,1,1,1,1,1,1,1,0
12,0,0,0,0,0,0,0,0,0,0
count,0
_,2,3,4,5,6,7,8,9,10,11
7,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,0
9,1,1,1,1,1,0,0,0,0,0
10,1,1,1,1,1,1,1,1,0,0
11,1,1,1,1,1,1,1,1,1,1
12,0,0,0,0,0,0,0,0,0,0
count,2
_,2,3,4,5,6,7,8,9,10,11
7,0,0,0,0,0,0,0,0,0,0
8,0,0,1,1,1,0,0,0,0,0
9,1,1,1,1,1,1,0,0,0,0
10,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1
12,0,0,0,0,0,0,0,0,0,0
count,4
_,2,3,4,5,6,7,8,9,10,11
7,0,0,0,0,0,0,0,0,0,0
8,0,1,1,1,1,0,0,0,0,0
9,1,1,1,1,1,1,1,0,0,0
10,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1
12,0,0,0,0,0,0,0,0,0,0
