count,0
_,2,3,4,5,6,7,8,9,10,11
2,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1
7,0,0,0,0,0,0,0,1,1,1
8,0,0,0,0,0,0,0,0,0,0
count,1
_,2,3,4,5,6,7,8,9,10,11
2,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1
7,0,0,0,0,0,0,0,1,1,1
8,0,0,0,0,0,0,0,0,0,0
count,2
_,2,3,4,5,6,7,8,9,10,11
2,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1
7,0,0,0,0,0,0,0,1,1,1
8,0,0,0,0,0,0,0,0,0,0
